PUNTO;ESTADO;REGION;BOTELLONES;VENTA;FECHA
GAIRA;Inactivo;MAGDALENA;37,25;100575;2021-07-10 09:14:15.527
EL REY;Activo;ATLANTICO;88,75;319500;2021-07-10 09:16:43.557
RODADERO 2;Inactivo;MAGDALENA;72,5;195750;2021-07-10 09:24:41.563
MANZANARES;Activo;MAGDALENA;37;99900;2021-07-10 09:37:29.797
BAVARIA;Inactivo;MAGDALENA;23,5;63450;2021-07-10 09:53:16.523
CALLE 30;Inactivo;MAGDALENA;7;18900;2021-07-10 10:00:03.420
FERROCARRIL;Activo;MAGDALENA;50,25;135675;2021-07-10 10:09:23.753
PUERTO COLOMBIA;Activo;ATLANTICO;41,75;150300;2021-07-10 10:20:51.570
CASTELLANA;Inactivo;BOLIVAR;30,5;109800;2021-07-10 10:48:53.823
ALTOS PLAN PAREJO;Activo;BOLIVAR;47,75;171900;2021-07-10 11:02:31.017
JARDIN;Activo;MAGDALENA;106,75;288225;2021-07-10 11:15:11.903
ALMENDROS;Inactivo;MAGDALENA;7;18900;2021-07-10 11:20:57.793
DELICIAS;Inactivo;MAGDALENA;40,25;108675;2021-07-10 11:26:03.293
GRANJA;Activo;BOLIVAR;306,75;1104300;2021-07-10 11:30:44.383
PESCAITO;Inactivo;MAGDALENA;51,5;139050;2021-07-10 11:35:54.203
ALCAZARES;Inactivo;MAGDALENA;48,5;130950;2021-07-10 12:32:56.690
ARJONA;Activo;BOLIVAR;0;0;2021-07-10 12:40:44.103
CURINCA;Inactivo;MAGDALENA;26,75;72225;2021-07-10 12:45:01.310
CIUDAD DEL SOL;Inactivo;MAGDALENA;22;59400;2021-07-10 13:01:14.053
MIRA CAMPESTRE;Inactivo;MAGDALENA;48,25;130275;2021-07-10 13:06:45.937
BOKOBA;Inactivo;ATLANTICO;26;93600;2021-07-11 06:30:39.120
MARIA AUXILIADORA;Activo;ATLANTICO;6;21600;2021-07-11 07:10:52.747
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;215;860000;2021-07-11 07:26:25.523
GRANJA;Activo;BOLIVAR;40,5;145800;2021-07-11 07:34:19.147
ALTOS PLAN PAREJO;Activo;BOLIVAR;41;147600;2021-07-11 07:50:40.427
PANDO;Inactivo;MAGDALENA;5;13500;2021-07-11 07:59:55.733
DELICIAS;Inactivo;MAGDALENA;12;32400;2021-07-11 08:20:05.293
PESCAITO;Inactivo;MAGDALENA;23,5;63450;2021-07-11 08:39:20.827
ALMENDROS;Inactivo;MAGDALENA;2;5400;2021-07-11 09:00:37.843
EDS EL RIO;Activo;MAGDALENA;37,75;101925;2021-07-11 09:41:37.873
TURBACO;Activo;BOLIVAR;31,75;114300;2021-07-11 09:42:32.620
3K;Activo;ATLANTICO;17;61200;2021-07-11 09:44:45.590
GAIRA;Inactivo;MAGDALENA;14,25;38475;2021-07-11 09:55:07.337
CRUZ;Activo;BOLIVAR;75,25;270900;2021-07-11 10:04:14.047
GALICIA;Activo;MAGDALENA;69,25;186975;2021-07-11 10:04:28.733
MIRA CAMPESTRE;Inactivo;MAGDALENA;15,25;41175;2021-07-11 10:23:57.933
RODADERO 2;Inactivo;MAGDALENA;19,75;53325;2021-07-11 10:25:24.173
CIUDAD DEL SOL;Inactivo;MAGDALENA;19,5;52650;2021-07-11 10:37:23.847
CURINCA;Inactivo;MAGDALENA;12,25;33075;2021-07-11 10:52:07.603
DON LEON;Activo;ATLANTICO;21,5;77400;2021-07-11 10:58:54.567
YUCAL;Activo;MAGDALENA;62,75;169425;2021-07-11 12:24:32.643
FERROCARRIL;Activo;MAGDALENA;28;75600;2021-07-11 13:05:21.997
OLAYA;Inactivo;MAGDALENA;0;0;2021-07-11 13:50:03.250
ALCAZARES;Inactivo;MAGDALENA;18,75;50625;2021-07-11 14:03:33.840
BAVARIA;Inactivo;MAGDALENA;10,75;29025;2021-07-11 14:41:30.867
CALLE 30;Inactivo;MAGDALENA;5,5;14850;2021-07-11 14:59:47.573
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;5;20000;2021-07-11 15:07:39.990
MANZANARES;Activo;MAGDALENA;29;78300;2021-07-11 15:27:41.587
CIUDADELA;Activo;MAGDALENA;26,25;70875;2021-07-11 16:14:31.350
PARAISO;Inactivo;ATLANTICO;18,75;67500;2021-07-11 16:17:01.733
EL REY;Activo;ATLANTICO;43,75;157500;2021-07-11 16:23:48.343
UNIMAGDALENA;Activo;MAGDALENA;46;124200;2021-07-11 16:41:52.957
CASTELLANA;Inactivo;BOLIVAR;16,25;58500;2021-07-11 16:51:03.453
DON ROBERTO;Activo;ATLANTICO;38;136800;2021-07-11 16:52:11.047
PORVENIR;Activo;ATLANTICO;24,5;88200;2021-07-11 17:07:37.210
JARDIN;Activo;MAGDALENA;27,75;74925;2021-07-11 17:27:29.677
PUERTO COLOMBIA;Activo;ATLANTICO;14,75;53100;2021-07-11 18:31:03.053
PLAN PAREJO;Inactivo;BOLIVAR;15;54000;2021-07-11 13:58:29.183
FERROCARRIL;Activo;MAGDALENA;13;35100;2021-07-12 05:28:14.950
PESCAITO;Inactivo;MAGDALENA;20;54000;2021-07-12 05:39:10.323
BOKOBA;Inactivo;ATLANTICO;10,75;38700;2021-07-12 06:25:54.457
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;148;592000;2021-07-12 06:53:15.543
JARDIN;Activo;MAGDALENA;29;78300;2021-07-12 07:02:20.417
ARJONA;Activo;BOLIVAR;0;0;2021-07-12 07:02:51.353
ALMENDROS;Inactivo;MAGDALENA;8;21600;2021-07-12 07:16:49.400
MARIA AUXILIADORA;Activo;ATLANTICO;7,75;27900;2021-07-12 07:25:11.253
GRANJA;Activo;BOLIVAR;156,25;562500;2021-07-12 08:11:47.930
CURINCA;Inactivo;MAGDALENA;14;37800;2021-07-12 08:27:06.760
ALTOS PLAN PAREJO;Activo;BOLIVAR;54,75;197100;2021-07-12 09:01:41.347
PLAN PAREJO;Inactivo;BOLIVAR;14,25;51300;2021-07-12 09:09:35.860
PORVENIR;Activo;ATLANTICO;4,75;17100;2021-07-12 09:22:32.190
DELICIAS;Inactivo;MAGDALENA;19;51300;2021-07-12 09:26:07.123
DON LEON;Activo;ATLANTICO;29,25;105300;2021-07-12 10:40:49.423
CIUDAD DEL SOL;Inactivo;MAGDALENA;16;43200;2021-07-12 10:43:13.763
MIRA CAMPESTRE;Inactivo;MAGDALENA;15;40500;2021-07-12 10:49:40.107
PANDO;Inactivo;MAGDALENA;7;18900;2021-07-12 10:49:46.280
3K;Activo;ATLANTICO;29,25;105300;2021-07-12 10:58:47.800
YUCAL;Activo;MAGDALENA;12;32400;2021-07-12 10:59:10.013
CIUDADELA;Activo;MAGDALENA;22;59400;2021-07-12 11:02:25.330
UNIMAGDALENA;Activo;MAGDALENA;15,25;41175;2021-07-12 11:15:51.627
CRUZ;Activo;BOLIVAR;67,5;243000;2021-07-12 11:19:55.173
TURBACO;Activo;BOLIVAR;53,75;193500;2021-07-12 11:27:19.823
EDS EL RIO;Activo;MAGDALENA;36;97200;2021-07-12 11:30:22.243
GALICIA;Activo;MAGDALENA;13;35100;2021-07-12 11:52:39.357
PARAISO;Inactivo;ATLANTICO;1,75;6300;2021-07-12 14:01:52.797
EL REY;Activo;ATLANTICO;9;32400;2021-07-12 14:13:44.867
CASTELLANA;Inactivo;BOLIVAR;12,5;45000;2021-07-12 15:10:23.607
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;51;204000;2021-07-12 15:51:23.080
RODADERO 2;Inactivo;MAGDALENA;49,75;134325;2021-07-12 16:17:15.900
DON ROBERTO;Activo;ATLANTICO;19,25;69300;2021-07-12 16:22:22.480
GAIRA;Inactivo;MAGDALENA;16,5;44550;2021-07-12 16:32:42.103
CALLE 30;Inactivo;MAGDALENA;5,25;14175;2021-07-12 17:03:09.307
BAVARIA;Inactivo;MAGDALENA;14;37800;2021-07-12 17:19:51.993
ALCAZARES;Inactivo;MAGDALENA;23;62100;2021-07-12 17:28:33.653
PUERTO COLOMBIA;Activo;ATLANTICO;24;86400;2021-07-12 18:08:29.500
BOKOBA;Inactivo;ATLANTICO;17,25;62100;2021-07-13 06:20:51.190
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;72;288000;2021-07-13 06:53:42.700
MARIA AUXILIADORA;Activo;ATLANTICO;4,25;15300;2021-07-13 06:56:39.893
ARJONA;Activo;BOLIVAR;0;0;2021-07-13 07:00:03.100
JARDIN;Activo;MAGDALENA;73;197100;2021-07-13 07:08:35.210
GALICIA;Activo;MAGDALENA;29,5;79650;2021-07-13 07:23:04.927
PANDO;Inactivo;MAGDALENA;3;8100;2021-07-13 07:26:38.940
EDS EL RIO;Activo;MAGDALENA;35,25;95175;2021-07-13 07:34:32.020
CIUDADELA;Activo;MAGDALENA;14,5;39150;2021-07-13 07:36:02.160
ALMENDROS;Inactivo;MAGDALENA;7;18900;2021-07-13 07:58:06.407
DELICIAS;Inactivo;MAGDALENA;20;54000;2021-07-13 08:07:14.977
BAVARIA;Inactivo;MAGDALENA;9,5;25650;2021-07-13 08:32:53.133
CALLE 30;Inactivo;MAGDALENA;4,5;12150;2021-07-13 08:51:51.370
FERROCARRIL;Activo;MAGDALENA;35,25;95175;2021-07-13 09:30:50.390
YUCAL;Activo;MAGDALENA;24,25;65475;2021-07-13 09:32:06.077
ALCAZARES;Inactivo;MAGDALENA;10,5;28350;2021-07-13 09:44:51.087
GRANJA;Activo;BOLIVAR;157;565200;2021-07-13 10:11:41.173
PLAN PAREJO;Inactivo;BOLIVAR;19;68400;2021-07-13 10:29:53.457
RODADERO 2;Inactivo;MAGDALENA;14,75;39825;2021-07-13 10:31:38.573
CRUZ;Activo;BOLIVAR;64,5;232200;2021-07-13 10:37:03.643
TURBACO;Activo;BOLIVAR;27;97200;2021-07-13 10:49:11.323
CIUDAD DEL SOL;Inactivo;MAGDALENA;13;35100;2021-07-13 10:57:24.920
GAIRA;Inactivo;MAGDALENA;12,5;33750;2021-07-13 11:02:44.403
CURINCA;Inactivo;MAGDALENA;20,5;55350;2021-07-13 11:12:30.000
PARAISO;Inactivo;ATLANTICO;2,75;9900;2021-07-13 11:19:45.747
EL REY;Activo;ATLANTICO;28,25;101700;2021-07-13 11:32:43.120
MANZANARES;Activo;MAGDALENA;16,5;44550;2021-07-13 12:14:57.573
PUERTO COLOMBIA;Activo;ATLANTICO;22,75;81900;2021-07-13 12:35:51.453
DON ROBERTO;Activo;ATLANTICO;23;82800;2021-07-13 13:21:17.337
PORVENIR;Activo;ATLANTICO;23,5;84600;2021-07-13 13:33:33.443
OLAYA;Inactivo;MAGDALENA;2,25;6075;2021-07-13 14:13:51.680
PESCAITO;Inactivo;MAGDALENA;53,5;144450;2021-07-13 14:33:47.917
DON LEON;Activo;ATLANTICO;33,25;119700;2021-07-13 15:24:45.930
ALTOS PLAN PAREJO;Activo;BOLIVAR;68,75;247500;2021-07-13 15:27:19.720
MIRA CAMPESTRE;Inactivo;MAGDALENA;7;18900;2021-07-13 15:29:08.670
3K;Activo;ATLANTICO;34,25;123300;2021-07-13 15:44:30.557
CASTELLANA;Inactivo;BOLIVAR;15,5;55800;2021-07-13 16:15:38.153
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;52;208000;2021-07-13 16:30:26.073
BOKOBA;Inactivo;ATLANTICO;20,25;72900;2021-07-14 06:34:21.230
CASTELLANA;Inactivo;BOLIVAR;6,5;23400;2021-07-14 06:38:07.197
PARAISO;Inactivo;ATLANTICO;5;18000;2021-07-14 07:16:53.740
MARIA AUXILIADORA;Activo;ATLANTICO;11,5;41400;2021-07-14 07:22:54.187
EL REY;Activo;ATLANTICO;20,25;72900;2021-07-14 07:24:52.223
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;187;748000;2021-07-14 07:36:17.337
FERROCARRIL;Activo;MAGDALENA;35,5;95850;2021-07-14 08:02:05.983
PUERTO COLOMBIA;Activo;ATLANTICO;5,25;18900;2021-07-14 08:03:12.860
DELICIAS;Inactivo;MAGDALENA;20,25;54675;2021-07-14 08:10:17.837
PESCAITO;Inactivo;MAGDALENA;19;51300;2021-07-14 08:22:49.013
ALMENDROS;Inactivo;MAGDALENA;1;2700;2021-07-14 08:30:52.633
OLAYA;Inactivo;MAGDALENA;4;10800;2021-07-14 08:30:56.087
JARDIN;Activo;MAGDALENA;62,5;168750;2021-07-14 08:39:20.713
DON ROBERTO;Activo;ATLANTICO;20;72000;2021-07-14 08:50:00.713
GALICIA;Activo;MAGDALENA;58,75;158625;2021-07-14 08:52:42.073
ALTOS PLAN PAREJO;Activo;BOLIVAR;54;194400;2021-07-14 08:59:44.953
EDS EL RIO;Activo;MAGDALENA;28,75;77625;2021-07-14 09:02:24.743
PORVENIR;Activo;ATLANTICO;10;36000;2021-07-14 09:09:49.670
CIUDAD DEL SOL;Inactivo;MAGDALENA;17,5;47250;2021-07-14 09:20:58.307
CIUDADELA;Activo;MAGDALENA;32,75;88425;2021-07-14 09:37:31.533
GRANJA;Activo;BOLIVAR;76,75;276300;2021-07-14 09:42:37.523
MIRA CAMPESTRE;Inactivo;MAGDALENA;10;27000;2021-07-14 10:00:56.123
YUCAL;Activo;MAGDALENA;14;37800;2021-07-14 10:13:15.033
PANDO;Inactivo;MAGDALENA;1;2700;2021-07-14 10:20:21.083
CALLE 30;Inactivo;MAGDALENA;9,5;25650;2021-07-14 10:43:57.290
CRUZ;Activo;BOLIVAR;60,5;217800;2021-07-14 10:55:06.253
MANZANARES;Activo;MAGDALENA;11,5;31050;2021-07-14 11:00:56.993
3K;Activo;ATLANTICO;35;126000;2021-07-14 11:18:24.550
DON LEON;Activo;ATLANTICO;15,5;55800;2021-07-14 11:42:09.217
PLAN PAREJO;Inactivo;BOLIVAR;16,25;58500;2021-07-14 11:59:05.877
TURBACO;Activo;BOLIVAR;60;216000;2021-07-14 12:32:07.883
ALCAZARES;Inactivo;MAGDALENA;24,25;65475;2021-07-14 12:56:07.633
BAVARIA;Inactivo;MAGDALENA;8,25;22275;2021-07-14 13:07:54.877
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;35;140000;2021-07-14 14:46:29.097
RODADERO 2;Inactivo;MAGDALENA;38,25;103275;2021-07-14 15:08:56.357
GAIRA;Inactivo;MAGDALENA;30;81000;2021-07-14 15:50:46.090
UNIMAGDALENA;Activo;MAGDALENA;58,25;157275;2021-07-14 16:56:22.510
BAVARIA;Inactivo;MAGDALENA;5;13500;2021-07-15 05:26:03.903
GALICIA;Activo;MAGDALENA;28,75;77625;2021-07-15 05:51:59.633
EDS EL RIO;Activo;MAGDALENA;33;89100;2021-07-15 05:56:35.243
JARDIN;Activo;MAGDALENA;71,25;192375;2021-07-15 06:04:31.817
ALMENDROS;Inactivo;MAGDALENA;8;21600;2021-07-15 06:18:29.907
DELICIAS;Inactivo;MAGDALENA;14;37800;2021-07-15 06:27:14.463
BOKOBA;Inactivo;ATLANTICO;11;39600;2021-07-15 06:31:42.900
PESCAITO;Inactivo;MAGDALENA;41;110700;2021-07-15 06:33:18.623
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;126,75;507000;2021-07-15 06:48:23.317
ARJONA;Activo;BOLIVAR;0;0;2021-07-15 07:13:57.420
MARIA AUXILIADORA;Activo;ATLANTICO;13,75;49500;2021-07-15 07:17:35.067
ALCAZARES;Inactivo;MAGDALENA;9;24300;2021-07-15 07:32:36.313
FERROCARRIL;Activo;MAGDALENA;23;62100;2021-07-15 07:45:40.973
PARAISO;Inactivo;ATLANTICO;12,25;44100;2021-07-15 07:54:56.927
EL REY;Activo;ATLANTICO;33,75;121500;2021-07-15 08:07:11.760
DON ROBERTO;Activo;ATLANTICO;35,75;128700;2021-07-15 08:59:02.223
OLAYA;Inactivo;MAGDALENA;8,5;22950;2021-07-15 09:06:15.230
PORVENIR;Activo;ATLANTICO;15,25;54900;2021-07-15 09:14:07.557
CALLE 30;Inactivo;MAGDALENA;7,25;19575;2021-07-15 09:28:02.273
MANZANARES;Activo;MAGDALENA;10;27000;2021-07-15 09:48:19.453
GRANJA;Activo;BOLIVAR;148;532800;2021-07-15 09:51:02.820
ALTOS PLAN PAREJO;Activo;BOLIVAR;79;284400;2021-07-15 10:14:41.817
RODADERO 2;Inactivo;MAGDALENA;17;45900;2021-07-15 10:15:32.080
PLAN PAREJO;Inactivo;BOLIVAR;9,25;33300;2021-07-15 10:29:39.617
GAIRA;Inactivo;MAGDALENA;12,5;33750;2021-07-15 10:35:42.947
CRUZ;Activo;BOLIVAR;50,25;180900;2021-07-15 10:37:42.907
TURBACO;Activo;BOLIVAR;23,75;85500;2021-07-15 10:44:40.560
CURINCA;Inactivo;MAGDALENA;10,5;28350;2021-07-15 10:57:35.433
PANDO;Inactivo;MAGDALENA;1;2700;2021-07-15 11:05:39.863
3K;Activo;ATLANTICO;36,75;132300;2021-07-15 11:08:08.093
CIUDADELA;Activo;MAGDALENA;32,5;87750;2021-07-15 11:18:08.457
UNIMAGDALENA;Activo;MAGDALENA;16,5;44550;2021-07-15 11:24:44.900
CIUDAD DEL SOL;Inactivo;MAGDALENA;11;29700;2021-07-15 11:46:22.663
MIRA CAMPESTRE;Inactivo;MAGDALENA;8,25;22275;2021-07-15 11:54:05.533
DON LEON;Activo;ATLANTICO;24;86400;2021-07-15 12:10:24.883
YUCAL;Activo;MAGDALENA;23,25;62775;2021-07-15 12:10:42.767
PUERTO COLOMBIA;Activo;ATLANTICO;40;144000;2021-07-15 13:29:04.577
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;33;132000;2021-07-15 15:21:49.083
CASTELLANA;Inactivo;BOLIVAR;15;54000;2021-07-15 17:24:05.663
BOKOBA;Inactivo;ATLANTICO;15,75;56700;2021-07-16 06:34:57.617
FERROCARRIL;Activo;MAGDALENA;22,5;60750;2021-07-16 06:38:06.257
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;137;548000;2021-07-16 06:54:14.063
ARJONA;Activo;BOLIVAR;0;0;2021-07-16 07:07:55.943
MARIA AUXILIADORA;Activo;ATLANTICO;2,5;9000;2021-07-16 07:09:05.363
JARDIN;Activo;MAGDALENA;46,25;124875;2021-07-16 07:56:44.313
ALMENDROS;Inactivo;MAGDALENA;7;18900;2021-07-16 08:16:13.983
PARAISO;Inactivo;ATLANTICO;6,25;22500;2021-07-16 08:21:59.410
DELICIAS;Inactivo;MAGDALENA;3;8100;2021-07-16 08:23:25.317
EL REY;Activo;ATLANTICO;24,75;89100;2021-07-16 08:36:26.467
PESCAITO;Inactivo;MAGDALENA;23,75;64125;2021-07-16 08:43:10.223
OLAYA;Inactivo;MAGDALENA;5;13500;2021-07-16 08:57:34.740
PUERTO COLOMBIA;Activo;ATLANTICO;11,25;40500;2021-07-16 09:09:35.500
ALCAZARES;Inactivo;MAGDALENA;22;59400;2021-07-16 09:42:25.010
CRUZ;Activo;BOLIVAR;33,5;120600;2021-07-16 09:55:00.223
PLAN PAREJO;Inactivo;BOLIVAR;17,75;63900;2021-07-16 09:59:09.700
BAVARIA;Inactivo;MAGDALENA;9;24300;2021-07-16 10:02:31.657
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;26;104000;2021-07-16 10:14:33.267
CALLE 30;Inactivo;MAGDALENA;4;10800;2021-07-16 10:25:16.663
TURBACO;Activo;BOLIVAR;58;208800;2021-07-16 10:27:29.373
DON ROBERTO;Activo;ATLANTICO;46,25;166500;2021-07-16 10:33:44.657
DON LEON;Activo;ATLANTICO;19,75;71100;2021-07-16 10:42:09.130
PORVENIR;Activo;ATLANTICO;14;50400;2021-07-16 10:54:03.837
3K;Activo;ATLANTICO;21,25;76500;2021-07-16 11:29:39.050
CASTELLANA;Inactivo;BOLIVAR;4,75;17100;2021-07-16 12:44:04.787
GRANJA;Activo;BOLIVAR;119;428400;2021-07-16 12:59:50.460
MIRA CAMPESTRE;Inactivo;MAGDALENA;13,25;35775;2021-07-16 14:02:14.973
YUCAL;Activo;MAGDALENA;16,75;45225;2021-07-16 15:04:11.087
CIUDAD DEL SOL;Inactivo;MAGDALENA;19;51300;2021-07-16 15:52:22.510
CURINCA;Inactivo;MAGDALENA;19,75;53325;2021-07-16 16:06:02.623
UNIMAGDALENA;Activo;MAGDALENA;32,25;87075;2021-07-16 16:18:48.143
CIUDADELA;Activo;MAGDALENA;32,5;87750;2021-07-16 16:31:50.340
PANDO;Inactivo;MAGDALENA;8;21600;2021-07-16 16:46:00.697
GAIRA;Inactivo;MAGDALENA;20,75;56025;2021-07-16 17:00:26.207
RODADERO 2;Inactivo;MAGDALENA;48;129600;2021-07-16 17:19:10.950
MANZANARES;Activo;MAGDALENA;25,25;68175;2021-07-16 17:43:00.947
BOKOBA;Inactivo;ATLANTICO;16,25;58500;2021-07-17 06:37:55.890
MARIA AUXILIADORA;Activo;ATLANTICO;15;54000;2021-07-17 07:06:53.380
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;0;0;2021-07-17 07:25:29.450
3K;Activo;ATLANTICO;16,5;59400;2021-07-17 07:49:45.553
CASTELLANA;Inactivo;BOLIVAR;5,5;19800;2021-07-17 08:13:10.560
DON LEON;Activo;ATLANTICO;19;68400;2021-07-17 08:36:16.987
PLAN PAREJO;Inactivo;BOLIVAR;4,25;15300;2021-07-17 08:48:22.527
PORVENIR;Activo;ATLANTICO;11;39600;2021-07-17 08:55:06.173
ALTOS PLAN PAREJO;Activo;BOLIVAR;111,5;401400;2021-07-17 09:01:06.333
DON ROBERTO;Activo;ATLANTICO;20,75;74700;2021-07-17 09:12:41.373
CRUZ;Activo;BOLIVAR;77,75;279900;2021-07-17 09:16:58.543
PARAISO;Inactivo;ATLANTICO;11,25;40500;2021-07-17 09:33:42.253
EL REY;Activo;ATLANTICO;29;104400;2021-07-17 09:44:17.820
TURBACO;Activo;BOLIVAR;38,5;138600;2021-07-17 09:55:37.170
ARJONA;Activo;BOLIVAR;0;0;2021-07-17 10:29:16.510
GRANJA;Activo;BOLIVAR;69,75;251100;2021-07-17 10:39:47.107
FERROCARRIL;Activo;MAGDALENA;26,25;70875;2021-07-17 10:49:45.463
PUERTO COLOMBIA;Activo;ATLANTICO;25,25;90900;2021-07-17 11:30:06.703
OLAYA;Inactivo;MAGDALENA;9,25;24975;2021-07-17 12:15:01.993
PESCAITO;Inactivo;MAGDALENA;48,5;130950;2021-07-17 12:24:17.403
DELICIAS;Inactivo;MAGDALENA;13;35100;2021-07-17 12:45:46.070
ALMENDROS;Inactivo;MAGDALENA;6;16200;2021-07-17 13:19:34.213
JARDIN;Activo;MAGDALENA;78;210600;2021-07-17 13:36:22.030
YUCAL;Activo;MAGDALENA;20;54000;2021-07-17 14:13:41.907
CIUDAD DEL SOL;Inactivo;MAGDALENA;22;59400;2021-07-17 15:02:19.197
CURINCA;Inactivo;MAGDALENA;8;21600;2021-07-17 15:25:01.040
UNIMAGDALENA;Activo;MAGDALENA;33;89100;2021-07-17 15:33:39.637
CIUDADELA;Activo;MAGDALENA;6,25;16875;2021-07-17 15:43:56.670
PANDO;Inactivo;MAGDALENA;2;5400;2021-07-17 15:52:50.377
GAIRA;Inactivo;MAGDALENA;14,25;38475;2021-07-17 16:07:11.623
RODADERO 2;Inactivo;MAGDALENA;15,25;41175;2021-07-17 16:21:42.847
CALLE 30;Inactivo;MAGDALENA;11;29700;2021-07-17 16:42:04.160
BAVARIA;Inactivo;MAGDALENA;19;51300;2021-07-17 16:59:48.440
ALCAZARES;Inactivo;MAGDALENA;44,25;119475;2021-07-17 17:05:35.853
FERROCARRIL;Activo;MAGDALENA;24;64800;2021-07-18 05:47:19.877
GAIRA;Inactivo;MAGDALENA;7,5;20250;2021-07-18 06:13:18.260
BOKOBA;Inactivo;ATLANTICO;7,75;27900;2021-07-18 06:25:45.963
RODADERO 2;Inactivo;MAGDALENA;11;29700;2021-07-18 06:33:21.767
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;50;200000;2021-07-18 06:38:11.567
BAVARIA;Inactivo;MAGDALENA;2,5;6750;2021-07-18 06:53:02.787
ARJONA;Activo;BOLIVAR;0;0;2021-07-18 06:56:11.083
UNIMAGDALENA;Activo;MAGDALENA;7,25;19575;2021-07-18 07:11:52.153
PESCAITO;Inactivo;MAGDALENA;24,25;65475;2021-07-18 07:26:13.150
ALCAZARES;Inactivo;MAGDALENA;19,5;52650;2021-07-18 07:30:12.417
MARIA AUXILIADORA;Activo;ATLANTICO;6,5;23400;2021-07-18 07:35:10.600
ALMENDROS;Inactivo;MAGDALENA;2;5400;2021-07-18 07:38:49.310
GRANJA;Activo;BOLIVAR;78,25;281700;2021-07-18 07:58:22.627
CALLE 30;Inactivo;MAGDALENA;2;5400;2021-07-18 08:47:13.117
DELICIAS;Inactivo;MAGDALENA;12,75;34425;2021-07-18 09:04:13.940
CIUDADELA;Activo;MAGDALENA;0;0;2021-07-18 09:10:09.103
DON LEON;Activo;ATLANTICO;23,75;85500;2021-07-18 09:20:29.833
MIRA CAMPESTRE;Inactivo;MAGDALENA;19;51300;2021-07-18 09:23:18.627
ALTOS PLAN PAREJO;Activo;BOLIVAR;74,5;268200;2021-07-18 09:32:40.703
PANDO;Inactivo;MAGDALENA;1;2700;2021-07-18 09:38:34.350
CIUDAD DEL SOL;Inactivo;MAGDALENA;17,75;47925;2021-07-18 09:39:13.753
PLAN PAREJO;Inactivo;BOLIVAR;18,25;65700;2021-07-18 09:47:27.350
YUCAL;Activo;MAGDALENA;7,5;20250;2021-07-18 10:18:41.970
DON ROBERTO;Activo;ATLANTICO;39;140400;2021-07-18 10:24:52.027
JARDIN;Activo;MAGDALENA;48,75;131625;2021-07-18 10:38:56.660
PORVENIR;Activo;ATLANTICO;24,5;88200;2021-07-18 10:46:19.027
CRUZ;Activo;BOLIVAR;69;248400;2021-07-18 10:52:52.203
OLAYA;Inactivo;MAGDALENA;7,5;20250;2021-07-18 11:06:56.643
TURBACO;Activo;BOLIVAR;35,25;126900;2021-07-18 11:33:53.660
PARAISO;Inactivo;ATLANTICO;6,75;24300;2021-07-18 13:16:23.503
EL REY;Activo;ATLANTICO;36;129600;2021-07-18 13:23:19.450
PUERTO COLOMBIA;Activo;ATLANTICO;24,25;87300;2021-07-18 14:21:01.287
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;20;80000;2021-07-18 14:25:04.050
3K;Activo;ATLANTICO;39;140400;2021-07-18 17:56:11.983
MANZANARES;Activo;MAGDALENA;27,25;73575;2021-07-18 17:43:00.947
EDS LAS MARIA ARJONA;Inactivo;BOLIVAR;166;597600;2021-07-18 17:34:14.467
CASTELLANA;Inactivo;BOLIVAR;14,25;51300;2021-07-18 08:13:10.560
BOKOBA;Inactivo;ATLANTICO;16,25;58500;2021-07-19 06:28:36.950
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;111,25;445000;2021-07-19 06:47:18.827
MARIA AUXILIADORA;Activo;ATLANTICO;2,5;9000;2021-07-19 07:10:44.163
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;11;44000;2021-07-19 07:32:37.613
JARDIN;Activo;MAGDALENA;53,75;145125;2021-07-19 07:43:35.773
3K;Activo;ATLANTICO;5,25;18900;2021-07-19 07:55:09.703
DELICIAS;Inactivo;MAGDALENA;23;62100;2021-07-19 07:57:01.610
DON LEON;Activo;ATLANTICO;26;93600;2021-07-19 08:05:36.887
PESCAITO;Inactivo;MAGDALENA;32,75;88425;2021-07-19 08:07:33.303
ALMENDROS;Inactivo;MAGDALENA;4;10800;2021-07-19 08:19:01.820
DON ROBERTO;Activo;ATLANTICO;29,5;106200;2021-07-19 08:19:23.970
EDS EL RIO;Activo;MAGDALENA;164;442800;2021-07-19 08:31:16.783
